Date,Account,Transaction Type,Category,Sub-Category,Quickbooks Category,Description, Amount ,Status,Notes,Ben Review
9/3/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: MS Walker Orig ID:1041941600 Desc Date:250902 CO Entry Descr:Web Pay Sec:CCD Trace#:011500126868925 Eed:250903 Ind ID:Mswalker Ind Name:243 E 14th Cafe Inc Trn:2466868925Tc,($528.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/3/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,Orig CO Name: Woolco Foods Orig ID:2331201470 Desc Date: CO Entry Descr:Bank Sweep Sec:Web Trace#:104000015629930 Eed:250903 Ind ID:FT394359570 Ind Name:Winslow Pub & Restaura Trn:2465629930Tc,"($2,821.13)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/3/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,Orig CO Name: ADP Pay-By-Pay Orig ID:9555555505 Desc Date:250903 CO Entry Descr:Pay-By-Pay Sec:CCD Trace#:021000027730966 Eed:250903 Ind ID:940336135888Gjo Ind Name:243 E 14th Cafe Inc th 304287687 Trn:2457730966Tc,($157.84),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/3/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,Orig CO Name: Shift4 Orig ID:1465216257 Desc Date: CO Entry Descr:Shift4 Sec:CCD Trace#:091000016868927 Eed:250903 Ind ID:I25090204361 Ind Name:638049 The Winslow Trn:2466868927Tc,($201.99),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,
9/4/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13197 Polar Bear,($521.10),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/4/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13198 WE,($127.76),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/4/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13199 Pat Lafreida Meat,"($1,237.13)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/4/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,945.53 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/4/25,Winslow - Checking *2917,Electronic Withdrawal,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Remote Deposit - Purple Pass/Gin Club,($350.00),Amber,Revenue/Deposit  no concerns; aligns with operating activity.,"N, ?"
9/5/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Supplies & Packaging Expense,Supplies & Packaging Expense,13196 COast Linens,($430.35),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/5/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,153.68 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/5/25,Winslow - Checking *2917,Deposit,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,"Payroll Liabilities:Net Payroll, Orig CO Name:ADP WAGE PAY",$400.33 ,Red,Revenue/Deposit  no concerns; aligns with operating activity.,
9/5/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,Orig CO Name: ADP Payroll Fees Orig ID:9659605001 Desc Date:250905 CO Entry Descr:ADP Fees Sec:CCD Trace#:021000025550297 Eed:250905 Ind ID:927939721356 Ind Name:699076375243 E 14th CA Trn:2485550297Tc,($74.25),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/5/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,Orig CO Name: Seated - New Gue Orig ID:1800948598 Desc Date: CO Entry Descr:Seated- Disec:Web Trace#:091000012787759 Eed:250905 Ind ID:St-G7M1L5D2Z2D8 Ind Name:The Winslow Trn:2472787759Tc,($344.75),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/8/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$12,444.92 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/8/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$9,262.81 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/8/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$6,576.08 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/8/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Union Beer Distr Orig ID:9113310559 Desc Date: CO Entry Descr:Invoices Sec:CCD Trace#:021303610893465 Eed:250908 Ind ID:Fmthi09/05/25 Ind Name:The Winslow Trn:2480893465Tc,"($1,849.21)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/8/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Credit Card - Chase,Credit Card - Chase,Orig CO Name: Chase Credit Crd Orig ID:4760039224 Desc Date:250907 CO Entry Descr:Autopaybus Sec:PPD Trace#:021000024026041 Eed:250908 Ind ID:000000000378620 Ind Name:Tafoya Mark R Trn:2514026041Tc,"($7,829.66)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/8/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Navigator entertainment",($700.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/9/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13189 Polar Bear,($286.10),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/9/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13187 Pat Lafreida Meat,"($1,356.00)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/9/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13190 WE,($73.78),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/9/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$9,234.98 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/9/25,Winslow - Checking *2917,Deposit,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,"Payroll Liabilities:Net Payroll, Orig CO Name:ADP PAY-BY-PAY",$2.39 ,Red,Revenue/Deposit  no concerns; aligns with operating activity.,
9/9/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,Orig CO Name: ADP Wage Pay Orig ID:9333006057 Desc Date:250909 CO Entry Descr:Wage Pay Sec:CCD Trace#:021000024941050 Eed:250909 Ind ID:939936337225Gjo Ind Name:243 E 14th Cafe Inc th 323298036 Trn:2524941050Tc,"($13,493.75)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/10/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13198 Polar Bear,($286.10),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/10/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,610.14 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/10/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,Orig CO Name: ADP Pay-By-Pay Orig ID:9555555505 Desc Date:250910 CO Entry Descr:Pay-By-Pay Sec:CCD Trace#:021000025801458 Eed:250910 Ind ID:939936337226Gjo Ind Name:243 E 14th Cafe Inc th 304287687 Trn:2525801458Tc,($161.90),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/10/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,Orig CO Name: ADP Tax Orig ID:1223006057 Desc Date:250910 CO Entry Descr:ADP Tax Sec:CCD Trace#:021000028768337 Eed:250910 Ind ID:Lugjo 3938941Vv Ind Name:243 E 14th Cafe Inc Trn:2538768337Tc,"($5,604.68)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/11/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,804.70 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/12/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,405.25 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/12/25,Winslow - Checking *2917,Deposit,Other Expense,Marketing/Advertising,Uncategorized Income,"Advertising/Promotion:Charitable, Online Transfer from CHK",$150.00 ,Red,Revenue/Deposit  no concerns; aligns with operating activity.,
9/12/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,Orig CO Name: ADP Payroll Fees Orig ID:9659605001 Desc Date:250912 CO Entry Descr:ADP Fees Sec:CCD Trace#:021000024879544 Eed:250912 Ind ID:790078576647 Ind Name:699615445243 E 14th CA Trn:2554879544Tc,($72.98),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/12/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,Orig CO Name: Seated - New Gue Orig ID:4270465600 Desc Date: CO Entry Descr:Seated- Disec:Web Trace#:111000022436303 Eed:250912 Ind ID:St-U2E9H5R7I6B7 Ind Name:The Winslow Trn:2542436303Tc,($335.49),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/12/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,Music/Enterntainment - Zach Sobel Music,($414.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/12/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,Orig CO Name: Shift4 Orig ID:1731435739 Desc Date:250911 CO Entry Descr:Chg Backs Sec:CCD Trace#:011500122436305 Eed:250912 Ind ID:068880021774459 Ind Name:The Winslow Trn:2542436305Tc,($82.12),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,
9/13/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,213.09 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/15/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$6,280.35 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/15/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$13,591.53 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: SGWS of NYC Orig ID:0008235758 Desc Date:250914 CO Entry Descr:3056254171 Sec:Web Trace#:021000024204627 Eed:250915 Ind Name:Mark Tafoya Trn:2584204627Tc,"($4,504.82)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Empire Merchants Orig ID:8263863381 Desc Date: CO Entry Descr:J2646 Rcur Sec:CCD Trace#:111000024204624 Eed:250915 Ind Name:243 E 14th Cafe Inc Trn:2584204624Tc,"($3,269.19)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Union Beer Distr Orig ID:9113310559 Desc Date: CO Entry Descr:Invoices Sec:CCD Trace#:021303612667540 Eed:250915 Ind Name:The Winslow Trn:2582667540Tc,"($1,157.93)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Anheuser Busch N Orig ID:9431510617 Desc Date: CO Entry Descr:Invoices Sec:CCD Trace#:021303612667542 Eed:250915 Ind Name:The Winslow Trn:2582667542Tc,($883.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,Orig CO Name: Baldor Specialty Orig ID:1800948598 Desc Date: CO Entry Descr:Baldor Spesec:Web Trace#:091000014204622 Eed:250915 Ind ID:St-X6F0X3G3Q0F9 Ind Name:The Winslow Trn:2584204622Tc,"($1,633.09)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Fixed Expense,Professional Services,Professional Services,"Zelle Payment To Mike Mangan, Accounting",($600.00),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Loan Repayment,Loan Repayment,Orig CO Name: SBA Loan Orig ID:7300000104 Desc Date:250912 CO Entry Descr:Payment Sec:CCD Trace#:041036042257792 Eed:250915 Ind ID:0000 Ind Name:The Winslow ACH Transaction Trn:2552257792Tc,($800.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Navigator entertainment",($700.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Alex Miller",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Dave Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/16/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$7,343.65 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/16/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Manhattan Beer D Orig ID:1139118000 Desc Date: CO Entry Descr:Manhattan Sec:CCD Trace#:021000024480672 Eed:250916 Ind Name:243 E 14th Cafe Inc th Trn:2594480672Tc,"($4,581.70)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/16/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,Orig CO Name: Woolco Foods Orig ID:2331201470 Desc Date: CO Entry Descr:Bank Sweep Sec:Web Trace#:104000011033312 Eed:250916 Ind Name:Winslow Pub & Restaura Trn:2581033312Tc,"($2,182.94)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/16/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,Orig CO Name: ADP Wage Pay Orig ID:9333006057 Desc Date:250916 CO Entry Descr:Wage Pay Sec:CCD Trace#:021000021666543 Eed:250916 Ind Name:243 E 14th Cafe Inc th 323298036 Trn:2591666543Tc,"($12,358.39)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/16/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,Orig CO Name: ADP Tax Orig ID:1223006057 Desc Date:250916 CO Entry Descr:ADP Tax Sec:CCD Trace#:021000024346064 Eed:250916 Ind ID:Lugjo 091736A01 Ind Name:243 E 14th Cafe Inc Trn:2594346064Tc,"($5,203.21)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/17/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,535.26 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/17/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Utilities,Utilities,Orig CO Name: Con Ed of NY Orig ID:2462467002 Desc Date:250915 CO Entry Descr:Cecony Sec:CCD Trace#:021000023530544 Eed:250917 Ind ID:13883400007 Ind Name:243 E14 Cafe Inc. Trn:2593530544Tc,"($4,266.37)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
9/17/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,Orig CO Name: ADP Pay-By-Pay Orig ID:9555555505 Desc Date:250917 CO Entry Descr:Pay-By-Pay Sec:CCD Trace#:021000023530546 Eed:250917 Ind Name:243 E 14th Cafe Inc th 304287687 Trn:2593530546Tc,($147.74),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/18/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SPICETECH LLC",$187.27 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/18/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,355.06 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/18/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,Orig CO Name: ADP Wage Pay Orig ID:9333006057 Desc Date:250918 CO Entry Descr:Wage Pay Sec:CCD Trace#:021000021368765 Eed:250918 Ind Name:243 E 14th Cafe Inc th 323298036 Trn:2611368765Tc,($400.33),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/19/25,Winslow - Checking *2917,Check,Taxes,Taxes & Licenses,Taxes & Licenses,13200 NYC Finance Commissioner,($80.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/19/25,Winslow - Checking *2917,Deposit,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,"Deposits, REMOTE ONLINE DEPOSIT #1",$420.00 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/19/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,766.05 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/19/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Internet/Phone/TV,Internet/Phone/TV,Orig CO Name: Verizon Wireless Orig ID:7223344794 Desc Date:250919 CO Entry Descr:Payments Sec:PPD Trace#:021000022065580 Eed:250919 Ind Name:0000000078631313300001 Trn:2622065580Tc,($245.71),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
9/19/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,Orig CO Name: ADP Payroll Fees Orig ID:9659605001 Desc Date:250919 CO Entry Descr:ADP Fees Sec:CCD Trace#:021000020119414 Eed:250919 Ind Name:700162466243 E 14th CA Trn:2620119414Tc,($82.98),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/19/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,Orig CO Name: Seated - New Gue Orig ID:1800948598 Desc Date: CO Entry Descr:Seated- Disec:Web Trace#:091000010888345 Eed:250919 Ind Name:The Winslow Trn:2610888345Tc,($305.03),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/20/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$9,147.90 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/22/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13206 Polar Bear,($172.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13205 WE,($165.90),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Food Expense,Food Expense,13208 Pat Lafreida,"($2,103.27)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Check,Other Expense,Charitable Contributions,Charitable Contributions,13152 The Bridge,($44.80),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$14,366.64 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/22/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$10,747.09 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/22/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Redbull US Eipp Orig ID:3300480328 Desc Date:092125 CO Entry Descr:Vendor Pmt Sec:CCD Trace#:091000013021168 Eed:250922 Ind Name:Mark Tafoya Trn:2653021168Tc,($172.80),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Navigator entertainment",($700.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Rodney Flood",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Brian Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/22/25,Winslow - Checking *2917,Electronic Withdrawal,Taxes,Taxes & Licenses,Taxes & Licenses,Orig CO Name: NYS DTF Sales Orig ID:O146013200 Desc Date: CO Entry Descr:Tax Paymnt Sec:CCD Trace#:091000013270374 Eed:250922 Ind Name:Sw2505305577 Trn:2623270374Tc,"($10,072.41)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/23/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13204 Park Street Imports,($204.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/23/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Supplies & Packaging Expense,Supplies & Packaging Expense,13207 Coast,($491.10),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/23/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$8,788.36 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/23/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,Orig CO Name: ADP Tax Orig ID:1223006057 Desc Date:250923 CO Entry Descr:ADP Tax Sec:CCD Trace#:021000021939764 Eed:250923 Ind ID:Lugjo 092437A01 Ind Name:243 E 14th Cafe Inc Trn:2661939764Tc,"($5,932.21)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/23/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,Orig CO Name: ADP Wage Pay Orig ID:9333006057 Desc Date:250923 CO Entry Descr:Wage Pay Sec:CCD Trace#:021000029700581 Eed:250923 Ind Name:243 E 14th Cafe Inc th Trn:2669700581Tc,"($13,505.62)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/23/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Madeline Music",($60.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/23/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,Orig CO Name: Shift4 Orig ID:1731435739 Desc Date:250922 CO Entry Descr:Chg Backs Sec:CCD Trace#:011500123297771 Eed:250923 Ind Name:The Winslow Trn:2653297771Tc,($120.43),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,
9/24/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,431.17 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/24/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Internet/Phone/TV,Internet/Phone/TV,Orig CO Name: T-Mobile Orig ID:0000450304 Desc Date:250924 CO Entry Descr:Pcs Svc Sec:Web Trace#:021000020107810 Eed:250924 Ind Name:Mark Tafoya Trn:2670107810Tc,($176.08),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
9/24/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,Orig CO Name: ADP Pay-By-Pay Orig ID:9555555505 Desc Date:250924 CO Entry Descr:Pay-By-Pay Sec:CCD Trace#:021000020732692 Eed:250924 Ind Name:243 E 14th Cafe Inc th Trn:2660732692Tc,($139.80),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/24/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: MHW Ltd Orig ID:5330903620 Desc Date:250922 CO Entry Descr:ACH Sec:Web Trace#:242071750732694 Eed:250924 Ind Name:Mark Tafoya Trn:2660732694Tc,($274.68),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/24/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Rodney Flood",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/24/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Alex Miller Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/25/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,658.75 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/25/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,Orig CO Name: Montauk Distilli Orig ID:9215986202 Desc Date:250925 CO Entry Descr:Sale Sec:CCD Trace#:021000025715017 Eed:250925 Ind Name:The Winslow Trn:2675715017Tc,($540.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/26/25,Winslow - Checking *2917,Check,Fixed Expense,Rent/Lease,Rent/Lease,13201 Marisol RE,"($20,000.00)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
